"","x"
"1",4015.86496666667
"2",5744.70516666667
"3",5923.17036666667
"4",981.820766666667
"5",1085.49456666667
"6",1218.61718095238
"7",1136.22465555555
"8",1424.54273333333
"9",682.774633333334
"10",832.0178
"11",717.885433333333
"12",834.6281
"13",1018.95736666667
"14",817.145133333333
"15",990.1678
"16",1213.41693333333
"17",1615.57116666667
"18",1670.34466666667
"19",961.834366666667
"20",1207.96015
"21",1201.29015
"22",1209.4143
"23",904.209266666667
"24",870.120333333334
"25",1017.61826666667
"26",1641.5838
"27",1822.69393333333
"28",1873.21231025641
"29",2225.84912591298
"30",1335.05606666667
"31",1291.40753333333
"32",900.344133333334
"33",959.697266666668
"34",1538.46896666667
"35",1885.48256666667
"36",1853.13083333333
"37",1846.18123333333
"38",2448.82156295926
"39",1723.454
"40",1648.80603333333
"41",1002.39743333333
"42",1279.20533333333
"43",863.165
"44",926.985
"45",1016.6712
"46",568.572433333333
"47",1152.4369
"48",1355.54786666667
"49",1098.16626666667
"50",544.694066666667
"51",1307.49786666667
"52",1339.16573333333
"53",1394.63486666667
"54",863.2194
"55",1287.80656666667
"56",1586.63296666667
"57",1883.26626666667
"58",1754.72375
"59",1164.01553333333
"60",2075.31746666667
"61",2171.9874
"62",1052.45843333333
"63",1019.87566666667
"64",447.250733333333
"65",264.3306
"66",250.112733333333
"67",1412.8316
"68",1743.37516666667
"69",1327.14006666667
"70",1648.15367878788
"71",746.1683
"72",1160.83123333333
"73",906.848633333333
"74",938.697766666667
"75",940.7669
"76",1361.63966666667
"77",1349.4013
"78",1772.68073333333
"79",1691.17303333333
"80",869.885333333333
"81",888.624766666667
"82",1226.91903333333
"83",623.701866666667
"84",932.582266666667
"85",1971.40613333333
"86",2612.76720833333
"87",1333.85793333333
"88",1380.39853333333
"89",1790.28556666667
"90",874.591233333334
"91",929.938433333334
"92",1334.96193333333
"93",664.1517
"94",1046.93173333333
"95",257.382171428571
"96",483.664271428571
"97",343.6693
"98",273.8509
"99",1410.80883333333
"100",5673.00353333333
"101",3903.8753
"102",3141.64856666667
"103",996.444533333333
"104",154.659338095238
"105",188.327657142857
"106",509.617033333333
"107",466.677233333333
"108",936.4725
"109",2011.75016666667
"110",1398.53876666667
"111",1845.36415223665
"112",1062.83298333333
"113",1142.1956
"114",500.631071428571
"115",1128.0666
"116",1154.03221666667
"117",1266.65926666667
"118",1322.0065
"119",903.527166666667
"120",746.449
"121",889.802266666667
"122",1145.5396
"123",1131.11173333333
"124",882.556333333333
"125",968.3803
"126",1055.69166666667
"127",1014.93135
"128",1027.35073333333
"129",506.148933333333
"130",448.657366666667
"131",1460.2115
"132",1125.72531587302
"133",1203.79538333333
"134",823.2866
"135",963.620933333333
"136",1082.52943333333
"137",1248.9773
"138",975.950033333334
"139",934.521400000001
"140",287.390147619048
"141",773.534533333333
"142",929.083133333333
"143",1174.47686666667
"144",1273.96066666667
"145",1271.06607619048
"146",946.830133333333
"147",691.256466666667
"148",879.044933333334
"149",1027.002
"150",1398.25916666667
"151",1507.68853333333
"152",1523.68876666667
"153",1989.62020194805
"154",1309.6703
"155",1773.57013333333
"156",1319.4059
"157",1757.96736666667
"158",1958.40796666667
"159",1849.87583333333
"160",1197.0269
"161",1560.15042380952
"162",994.784933333334
"163",983.427833333334
"164",940.767233333333
"165",1103.9071
"166",1314.03693333333
"167",1331.71386666667
"168",1747.17704358974
"169",760.521
"170",1001.29303333333
"171",813.34370952381
"172",1028.07836666667
"173",1173.04696666667
"174",1283.87616666667
"175",1268.07943333333
"176",1255.9606
"177",1337.09893333333
"178",4153.49483333333
"179",9746.351
"180",919.0271
"181",1013.6857
"182",176.335166666667
"183",236.2789
"184",159.3557
"185",374.174366666667
"186",1278.9229
"187",1300.7739
"188",1240.7343
"189",1322.67346666667
"190",1178.25171428571
"191",1387.72902857143
"192",1102.42146666667
"193",2360.97896666666
"194",662.700066666666
"195",907.263966666666
"196",832.168333333334
"197",1435.2521
"198",1935.10954545455
"199",2339.11976666667
"200",987.9189
"201",1299.61913809524
"202",1041.67474444445
"203",1241.65536666667
"204",2423.29573333333
"205",880.592666666667
"206",1300.54616190476
"207",981.327433333333
"208",1033.51313333333
"209",1238.12776666667
"210",1341.75596666667
"211",967.667433333333
"212",1213.47113333333
"213",861.932633333333
"214",1069.9443
"215",742.859666666666
"216",1044.09786666667
"217",1101.3676
"218",1151.30113333333
"219",3654.1221
"220",6431.4017
"221",5925.07788205129
"222",798.810433333333
"223",834.3902
"224",1279.03606666667
"225",1476.866
"226",1099.84653333333
"227",2181.7579
"228",1156.6502
"229",1917.26529025974
"230",915.9742
"231",979.418066666667
"232",1012.44098333333
"233",1134.75660555556
"234",1239.10080952381
"235",1429.1715
"236",2602.03173333333
"237",1161.11186666667
"238",1458.76673333333
"239",1394.67253333333
"240",1830.63496666667
"241",1911.81836739927
"242",827.532333333333
"243",849.544799999999
"244",942.694866666667
"245",1031.5573
"246",1366.3769
"247",1487.419
"248",1622.18366666667
"249",1132.32503333333
"250",1118.2936
"251",1067.64933333333
"252",1339.75845714286
"253",1040.98856666667
"254",1651.7375
"255",1221.07566666667
"256",1727.95483333333
"257",2097.07083333333
"258",1633.39476666667
"259",1968.1879
"260",1497.16757198974
"261",1672.45584600227
"262",1373.2655
"263",1875.46607878788
"264",2228.30676739812
"265",1664.42563333333
"266",1727.97023333333
"267",1019.0922
"268",1170.13293333333
"269",2102.17973333333
"270",1245.34163333333
"271",1305.13503333333
"272",1591.61603333333
"273",1745.15411282051
"274",947.6136
"275",945.068133333333
"276",1187.6916
"277",1685.41196096895
"278",1976.25923489116
"279",976.979566666666
"280",1454.73002631579
"281",1047.00063333333
"282",1374.08883333333
"283",1767.64226666667
"284",1894.2212
"285",888.675866666666
"286",1365.4044
"287",1568.15272219275
"288",972.832933333334
"289",1209.0405
"290",1904.75206190476
"291",1955.145
"292",1926.21136666667
"293",2316.41634946548
"294",1211.91206666667
"295",1765.83673489116
"296",945.378066666667
"297",2450.3246
"298",2640.96063333333
"299",1821.36552380952
"300",1248.36993333333
"301",1489.4827
"302",1926.01927648903
"303",926.184966666667
"304",1683.37656666667
"305",1799.57693333333
"306",6416.94613333334
"307",6442.74116666667
"308",8992.48546666667
"309",1713.0647
"310",1694.0199
"311",1589.86983333333
"312",1411.4969
"313",1655.94743333333
"314",1395.5792
"315",1666.72886666667
"316",2051.65806573086
"317",1790.87313333333
"318",2310.94200549336
"319",1620.9805
"320",1411.62853333333
"321",1920.87853333333
"322",1257.4123
"323",1912.93445
"324",2083.93568803419
"325",1341.8176
"326",1460.1753
"327",1534.9087
"328",1587.07633333334
"329",1559.1282
"330",1084.5377
"331",1406.662
"332",1804.63779770115
"333",1353.7944
"334",1572.0912
"335",2081.84215
"336",1553.2943
"337",1896.01113333333
"338",1937.21058024083
"339",2699.70823333333
"340",1425.43266666667
"341",1711.27226666667
"342",1902.23516357416
"343",1125.91056666667
"344",1416.95863333333
"345",1758.27776666667
"346",1756.74616666667
"347",1357.44393333333
"348",2566.66918095238
"349",2433.972575
"350",1603.86206666667
"351",1411.62496666667
"352",2006.78706666667
"353",2023.74547850923
"354",1213.11366666667
"355",1320.9249
"356",1613.65746666667
"357",1501.44430476191
"358",1584.47020608138
"359",1227.876
"360",1273.74186666667
"361",1599.72703333333
"362",1705.76816666667
"363",1386.1499
"364",1954.44444214559
"365",1518.46776666667
"366",1519.78906666667
"367",1634.46636666667
"368",1914.85553333333
"369",1453.78156666667
"370",1729.22603333333
"371",2058.9621
"372",1203.39616666667
"373",1270.4495
"374",1504.68056666667
"375",1720.6091
"376",1756.75866666667
"377",2102.74910881226
"378",1470.56216666667
"379",1448.79073333333
"380",1892.91683333333
"381",1795.11323333333
"382",2429.20323103448
"383",1191.3793
"384",1943.54599435447
"385",1334.73423333333
"386",1529.33186666667
"387",1266.1759
"388",1246.7937
"389",1439.99196666667
"390",1873.16626025641
"391",1687.0506
"392",2343.82913333333
"393",1291.2876
"394",2137.87018750402
"395",1559.26793333333
"396",1509.3096
"397",1850.9936
"398",86.5713
"399",675.107366666666
"400",680.0834
"401",774.197733333333
"402",964.2997
"403",970.7364
"404",990.769433333333
"405",969.1109
"406",1203.39030476191
"407",850.676766666667
"408",883.5716
"409",937.4768
"410",1051.03286666667
"411",1162.12393333333
"412",915.357666666667
"413",1095.72013333333
"414",686.3663
"415",1217.70616666667
"416",1198.96833333333
"417",1156.81456666667
"418",1366.63696666667
"419",893.919466666667
"420",985.7278
"421",889.391733333334
"422",1003.0888
"423",1063.18563333333
"424",1015.12966666667
"425",609.188666666667
"426",995.813
"427",1027.3875
"428",837.891233333333
"429",947.660433333333
"430",931.033566666667
"431",1050.44786666667
"432",830.429
"433",1087.77516666667
"434",1396.80153333333
"435",1377.85453333333
"436",1943.34806666667
"437",2337.87533333333
"438",1907.61063333333
"439",2163.2384
"440",1604.99883333333
"441",966.892633333333
"442",955.829733333334
"443",944.310800000001
"444",1162.54503333333
"445",978.7077
"446",1001.2912
"447",1091.2934
"448",1186.7583
"449",1312.74466666667
"450",656.690133333333
"451",936.567033333333
"452",1047.83863333333
"453",1070.25933333333
"454",1489.41418333333
"455",873.296133333333
"456",870.621666666667
"457",1071.99013333333
"458",871.309233333333
"459",895.890533333334
"460",931.902516666667
"461",1243.0552
"462",1438.34893333333
"463",2681.59472490288
"464",886.951433333334
"465",1150.06346666667
"466",1289.70118333333
"467",916.6326
"468",955.765833333333
"469",852.134833333334
"470",1117.3149
"471",802.6279
"472",722.997466666667
"473",1002.04073333333
"474",1060.26613333333
"475",161.4275
"476",165.389966666667
"477",1143.04396666667
"478",1279.15476666667
"479",1218.81756666667
"480",1521.43776666667
"481",1490.77866190476
"482",1746.54536190476
"483",1273.66816666667
"484",1451.75133333333
"485",1604.8684
"486",986.956733333334
"487",1053.2916
"488",1072.48333333333
"489",1329.16423333333
"490",917.7061
"491",1183.1222
"492",930.806566666667
"493",1174.3478
"494",1294.38496666667
"495",1680.75086666667
"496",1072.38836666667
"497",1176.44580952381
"498",1391.38555476191
"499",963.349666666667
"500",952.350633333333
"501",1267.96976666667
"502",1222.8813
"503",1681.74723333333
"504",1254.53186666667
"505",706.424533333334
"506",754.7223
"507",905.382133333333
"508",967.5311
"509",1488.76103333333
"510",1093.66326666667
"511",1092.4494
"512",911.2618
"513",939.0544
"514",836.0151
"515",1025.4917
"516",929.354533333333
"517",955.632966666666
"518",1050.35876666667
"519",1020.07713333333
"520",1411.59633333333
"521",968.078799999999
"522",989.338533333333
"523",1299.50356666667
"524",1091.68386666667
"525",1348.26596904762
"526",900.682633333333
"527",1182.2733
"528",300.020133333333
"529",1014.47077142857
"530",916.454133333334
"531",1247.21048888889
"532",959.204933333333
"533",907.266566666667
"534",955.354900000001
"535",1047.4628
"536",771.103466666667
"537",778.926866666667
"538",948.541533333333
"539",969.1374
"540",1014.31976666667
"541",730.613333333333
"542",755.159966666666
"543",991.89520952381
"544",1109.24274761905
"545",1128.72436428571
"546",1136.77533333333
"547",1099.96606666667
"548",865.422600000001
"549",1123.15756666667
"550",980.698966666667
"551",1265.6993
"552",1534.90133333333
"553",1551.15443333333
"554",675.138333333333
"555",885.581866666667
"556",1379.76626666667
"557",1334.8337
"558",893.915533333333
"559",1196.63386666667
"560",1342.06370952381
"561",1290.48313333333
"562",1282.35776666667
"563",1478.49843333333
"564",1066.2952
"565",1230.63873333333
"566",1337.4841
"567",920.982233333334
"568",1069.05523333333
"569",718.722433333333
"570",912.724666666667
"571",944.0309
"572",975.7158
"573",764.861433333333
"574",800.348133333333
"575",1137.4834
"576",1133.30466666667
"577",1174.24336666667
"578",1169.07896666667
"579",1170.56328333333
"580",1405.92786666667
"581",921.048966666668
"582",1003.79256666667
"583",825.816233333333
"584",1048.94626666667
"585",1010.90696666667
"586",1187.78243333333
"587",688.273933333334
"588",1037.89556666667
"589",1040.23936666667
"590",994.524904761905
"591",1165.95730952381
"592",843.381033333334
"593",913.2558
"594",1161.55506666667
"595",1169.876
"596",1196.0363
"597",1296.1132
"598",1126.00193333333
"599",1245.24326666667
"600",1007.52623333333
"601",824.523066666667
"602",898.435033333334
"603",1042.62956666667
"604",1254.14216666667
"605",126.387633333333
"606",600.5195
"607",784.078666666667
"608",1024.33403333333
"609",1275.78068333333
"610",840.906333333333
"611",1064.24396666667
"612",820.160533333333
"613",944.109566666667
"614",967.5713
"615",964.581266666667
"616",788.563166666666
"617",1172.29756666667
"618",889.689133333333
"619",932.746066666666
"620",1213.2016
"621",853.306433333333
"622",1117.36261666667
"623",978.827166666667
"624",1168.95516666667
"625",890.424833333333
"626",1032.18346666667
"627",1064.57989761905
"628",1045.58106666667
"629",1034.58418888889
"630",1987.69503333333
"631",1173.14503333333
"632",911.595133333333
"633",1180.9726
"634",1211.2512
"635",716.1214
"636",876.559966666667
"637",983.1597
"638",1013.29156666667
"639",877.445766666667
"640",1260.64566666667
"641",650.1702
"642",886.9351
"643",920.279566666667
"644",795.585233333333
"645",1158.70213333333
"646",1187.14588333333
"647",1092.60923333333
"648",1030.02140952381
"649",1233.96140952381
"650",760.558033333333
"651",1126.54586666667
"652",1284.83913333333
"653",1296.69383333333
"654",1056.18846666667
"655",1077.4856
"656",1247.94243333333
"657",1413.69423333333
"658",793.356
"659",981.295033333333
"660",1065.55723333333
"661",931.262366666666
"662",715.613433333334
"663",1024.64233333333
"664",1019.2643
"665",1268.31693333333
"666",1471.74643333333
"667",1056.7475
"668",1101.13356666667
"669",1082.79893333333
"670",853.088833333334
"671",1219.61906666667
"672",1056.36923333333
"673",1240.18323333333
"674",974.316133333333
"675",936.411
"676",1152.69056666667
"677",908.372133333334
"678",974.002533333334
"679",1171.40983333333
"680",967.907766666667
"681",961.969066666667
"682",1410.2333
"683",1391.8323
"684",1355.35943333333
"685",1537.70013333333
"686",1010.85876666667
"687",1033.6512
"688",972.129733333333
"689",1368.52481587302
"690",1343.53521111111
"691",1514.77743333333
"692",661.671
"693",944.633066666667
"694",815.894466666667
"695",1149.49951666667
"696",798.893566666667
"697",797.4941
"698",855.706033333333
"699",995.177966666666
"700",1128.11926666667
"701",1117.20513333333
"702",787.690966666667
"703",1396.38766666667
"704",1305.05921666667
"705",1422.8463
"706",849.206966666667
"707",864.143
"708",818.9638
"709",999.168866666667
"710",942.826066666667
"711",1156.69386666667
"712",1358.31113333333
"713",731.016633333333
"714",994.394866666667
"715",1062.74256666667
"716",888.0274
"717",1295.4054
"718",1070.34926666667
"719",1155.18356666667
"720",829.357933333334
"721",864.063400000001
"722",1243.73296666667
"723",1128.52206666667
"724",1302.7098
"725",1417.115
"726",1754.72377616893
"727",2649.4593433351
"728",1553.9909
"729",1182.7693
"730",1600.27946666667
"731",2035.24989148629
"732",1581.8419
"733",1888.93719047619
"734",2118.16553787879
"735",834.680133333334
"736",997.977428571429
"737",1512.1306
"738",1105.7188
"739",1068.08863333333
"740",1781.96773333333
"741",1747.5097
"742",3850.3053
"743",1004.6663
"744",1131.04143333333
"745",1410.61932380952
"746",1502.9636
"747",1353.6956
"748",1370.31346666667
"749",364.085
"750",747.071538095238
"751",1576.6809
"752",2036.68057263821
"753",2430.78337142857
"754",1167.45326666667
"755",1228.34793333333
"756",1055.4579
"757",1177.1919
"758",1880.42176666667
"759",1031.35526666667
"760",1158.5338
"761",1530.68737014897
"762",2033.58660333383
"763",1604.12586666667
"764",1044.60873333333
"765",2083.57553333333
"766",2088.04523333333
"767",850.080233333333
"768",1384.35891666667
"769",1731.10085740741
"770",1650.45323333333
"771",1631.7411
"772",1543.98953333333
"773",1694.79266386946
"774",1750.97687735043
"775",1192.70406666667
"776",1290.79676666667
"777",1479.20496666667
"778",1311.8289
"779",1690.8756
"780",1913.7241051948
"781",1453.78484761905
"782",1528.09461872294
"783",1352.5642
"784",1764.73552227191
"785",1199.11236666667
"786",1651.5414
"787",1920.75588893858
"788",1276.11153333333
"789",2104.67460165913
"790",1337.52313333333
"791",2193.69633053613
"792",1253.13243333333
"793",1027.15533333333
"794",1469.48026666667
"795",1899.67741641414
"796",2048.97844020252
"797",806.720866666667
"798",1428.79499047619
"799",1737.23348333333
"800",901.069666666667
"801",1536.02890681818
"802",1450.75996666667
"803",1753.77913333333
"804",2762.17827657157
"805",1409.8945
"806",1577.04996666667
"807",1623.77521666667
"808",1420.84566666667
"809",1340.1079
"810",1560.22636666667
"811",1997.31432958153
"812",1334.49646666667
"813",1360.6453
"814",1595.39683333333
"815",1328.8977
"816",1568.72166666667
"817",1469.42493333333
"818",1372.7928
"819",1383.12963333333
"820",1482.81703333333
"821",1534.40004761905
"822",1761.02196989096
"823",1968.76478196248
"824",1311.79466666667
"825",1371.19413333333
"826",1293.84196666667
"827",1388.94536666667
"828",1701.31542263821
"829",930.741233333333
"830",1381.60813333333
"831",1544.9325
"832",1631.74636666667
"833",1714.19456666667
"834",938.857533333334
"835",1090.7746
"836",1331.93183333333
"837",1501.36197857143
"838",1989.19980281385
"839",1136.07243333333
"840",1173.28476666667
"841",1369.6681
"842",1353.3508
"843",2525.53997407407
"844",800.834
"845",1406.49113333333
"846",2030.4022
"847",1549.2964
"848",1300.84386666667
"849",1316.60673333333
"850",1440.53233333333
"851",1886.00012878788
"852",1335.84573333333
"853",1468.04253333333
"854",2026.31982121212
"855",1390.76946666667
"856",1494.85913333333
"857",1358.24666666667
"858",1518.37126666667
"859",2059.10626666666
"860",1457.3486
"861",2772.52763333333
"862",1742.97086028799
"863",1457.04913333333
"864",1738.4052
"865",1897.75912692308
"866",1444.0747
"867",1366.08753333333
"868",1716.70846666667
"869",1778.77423333333
"870",1873.28646212121
"871",1331.77676666667
"872",1436.53456666667
"873",1400.9587
"874",1411.79056666667
"875",1731.9927
"876",345.922233333333
"877",1382.5681
"878",1433.5851
"879",1912.52911111111
"880",1329.18133333333
"881",1351.09306666667
"882",1360.38436666667
"883",1701.86646666667
"884",1545.6525
"885",270.906433333333
"886",1358.08843333333
"887",1395.5295
"888",1452.88743333333
"889",1519.08636666667
"890",1621.27773333333
"891",1886.355
"892",1571.40343333333
"893",1568.2511
"894",2057.63203333333
"895",2087.25010114038
"896",2032.72338102164
"897",1768.3833
"898",1271.6624
"899",1421.01093333333
"900",1457.2685
"901",1706.82377891816
"902",1991.93286072089
"903",1749.3743
"904",1362.71456666667
"905",1951.37786386946
"906",2132.75293333333
"907",1891.99139525467
"908",1677.264
"909",1192.43663333333
"910",1246.4356
"911",1393.26933333333
"912",1587.4998
"913",1597.8316
"914",1714.46143075883
"915",1259.05716666667
"916",1572.08686666667
"917",1814.08978333333
"918",1194.5034
"919",1552.9799
"920",1526.2546
"921",1995.80243636364
"922",1516.5962
"923",1579.9837
"924",1842.04996666667
"925",1896.0447
"926",2277.0725
"927",2203.31886841319
"928",1215.61806666667
"929",1203.65696666667
"930",1216.58026666667
"931",1258.58
"932",1218.68426666667
"933",1296.08463333333
"934",1723.67163333333
"935",1692.86341300194
"936",1013.20316666667
"937",1648.85613333333
"938",1551.2791
"939",1585.47826666667
"940",1279.05356666667
"941",1810.61316666667
"942",2098.60743333333
"943",2057.6122
"944",1227.98936666667
"945",1193.02856666667
"946",811.221466666667
"947",899.4272
"948",832.062633333334
"949",996.687133333334
"950",1162.20503809524
"951",1274.51473333333
"952",796.936966666667
"953",772.589866666667
"954",932.100433333334
"955",1078.60956666667
"956",1015.7776
"957",1048.93623333333
"958",631.659266666667
"959",765.133333333334
"960",932.754566666667
"961",822.050033333333
"962",832.960966666667
"963",860.814966666667
"964",839.614466666667
"965",953.655733333334
"966",973.201133333334
"967",857.0122
"968",1049.54833333333
"969",143.640433333333
"970",1068.58726666667
"971",1401.06250476191
"972",823.7323
"973",860.001066666666
"974",897.62699047619
"975",847.833033333334
"976",931.979666666667
"977",813.0565
"978",84.2877333333333
"979",886.5201
"980",874.227123809524
"981",761.566866666667
"982",891.120166666668
"983",926.0118
"984",819.006466666667
"985",1032.50906666667
"986",110.212033333333
"987",238.831233333333
"988",199.584966666667
"989",829.041866666667
"990",943.806733333333
"991",1251.257
"992",802.4601
"993",884.373733333334
"994",846.484066666667
"995",869.392666666667
"996",1238.99906666667
"997",114.3061
"998",157.478766666667
"999",221.7881
"1000",1016.37443333333
"1001",962.918
"1002",1168.43316666667
"1003",834.260566666667
"1004",876.107
"1005",221.796466666667
"1006",205.4839
"1007",243.055666666667
"1008",539.792733333333
"1009",183.484366666667
"1010",1029.8531
"1011",84.2638666666667
"1012",100.6174
"1013",791.615033333333
"1014",841.708466666666
"1015",1179.22383333333
"1016",1216.37575
"1017",901.909933333333
"1018",1150.5795
"1019",1161.2419
"1020",985.695433333334
"1021",129.691366666667
"1022",827.8398
"1023",891.167666666667
"1024",1080.00153333333
"1025",1359.76906666667
"1026",1230.77773333333
"1027",1087.10503333333
"1028",1223.88353333333
"1029",827.849590476191
"1030",1182.3556
"1031",1035.86026666667
"1032",1113.04356666667
"1033",1209.16943333333
"1034",868.374233333333
"1035",500.7933
"1036",545.615633333333
"1037",762.176833333333
"1038",833.202966666666
"1039",787.710866666667
"1040",1075.89223809524
"1041",824.7977
"1042",849.2987
"1043",982.005966666667
"1044",589.978766666667
"1045",1084.54016666667
"1046",781.185333333333
"1047",941.625266666667
"1048",1026.26877142857
"1049",1318.3632
"1050",911.782166666666
"1051",911.782866666667
"1052",834.200566666666
"1053",1098.5207
"1054",1128.9647
"1055",862.421966666666
"1056",1278.38683333333
"1057",1261.24866666667
"1058",1414.4182
"1059",1445.16673333333
"1060",202.501666666667
"1061",1030.39443333333
"1062",826.261666666667
"1063",126.2911
"1064",126.552033333333
"1065",126.8734
"1066",938.872733333333
"1067",779.7375
"1068",1064.7664
"1069",1125.80043333333
"1070",816.506133333333
"1071",778.697466666667
"1072",1142.5
"1073",1163.4241
"1074",1191.4045
"1075",1152.3234
"1076",890.8079
"1077",856.757333333333
"1078",755.204633333333
"1079",1040.48156666667
"1080",882.503966666667
"1081",1526.0986
"1082",1106.54703333333
"1083",911.1365
"1084",841.4792
"1085",909.1032
"1086",1005.2161
"1087",1116.39028333333
"1088",1152.43826666667
"1089",1702.3148
"1090",709.689833333334
"1091",900.452299999999
"1092",947.5074
"1093",781.434366666667
"1094",840.476966666666
"1095",824.940833333334
"1096",766.336833333334
"1097",1008.71323333333
"1098",1131.89560952381
"1099",888.8047
"1100",1063.51126666667
"1101",1157.96207142857
